Who is the greek equivalent of the roman god Mars ?;Ares
What was the town that ancient Greeks believed to be the centre of the world, and was the home of a famous oracle?;Delphi
Poseidon was the Greek god of the ______?;Sea
How many times did Peter deny Jesus?;Three
Which Titan had snakes for hair?;Medusa
"What does the ""touch of Midas"" turn everything into ?";Gold
What's heaven to fallen Norse warriors;Valhalla
Who is the greek equivalent of the roman god Minerva ?;Athena
What's heaven to fallen Norse warriors?;Valhalla
Who was the Greek god of fire?;Hephaestus
What were the 'Golden Apples' in Greek myth?;Apricots
In Egyptian mythology, who is the god of the underworld?;Osiris
How many children did Noah have?;Three
Who is the greek equivalent of the roman god Vulcan ?;Hephaistos
Egyptian Ibis-headed god?;Thoth
How many sayings did Jesus say from the cross?;Seven
In Egyptian mythology, who is known as the god of the desert?;Ash
What religion was founded by Lao-tzu ?;Taoism
Which Roman God was the equivalent of the Greek God Dionysus?;Bacchus
He was the second King of Israel.;David
Which tree do Druids regard sacred ?;Oak
Who is the greek equivalent of the roman god Venus ?;Aphrodite
He led the Israelites out of Egypt.;Moses
Though the touch of gold was removed, Midas was forever cursed by Athena to have the ears of which animal?;Donkey
What is the name of the field where Christ was crucified?;Calvary
Who is the greek equivalent of the roman god Neptune;Poseidon
In theology, the study of final things such as death, judgement and the end of the world is called:;Eschatology
In Greek mythology, who did Jocasta marry?;Oedipus
Roman god of doorways and passages. Two headed deity from which we get the name of one of our months?;Janus
Who is the greek equivalent of the roman god Cupid ?;Eros
According to the Bible, how many years did Methuselah live?;969
The sea gods had a three_pronged spear called a(n) ________.;Trident
Who is the greek equivalent of the roman god Diana;Artemis
On which mountain did Moses receive the Ten Commandments?;Sinai
He was condemned in Hades to forever push a boulder uphill, only for it to come rolling down before it reached the top.;Sisyphus
Who is the Norse god of the sky and thunder ?;Thor
Who is the greek equivalent of the roman god Vesta ?;Hestia
In Greek mythology, into what did Athena turn Arachne?;Spider
What animal's meat can a Muslim not eat?;Pig
What religion was founded by Guru Nanak ?;Sikhism
Who founded the People's Temple Commune?;Jim Jones
Who, in Egyptian mythology, is the god of the dead?;Anubis
What 'S' was a king of israel who was famous for his wisdom?;Solomon
On which day was the resurrection of Christ?;Easter Sunday
In Greek mythology, the riddle of what did Oedipus solve?;Sphinx
In Egyptian mythology, who was Isis the wife of?;Osiris
Who is the greek equivalent of the roman god Mercury;Hermes
Who is the Roman goddess of destiny?;Fortuna
Who is the greek equivalent of the roman god Juno;Hera
Who is the mother of Apollo and Artemis?;Leto
Who is the Norse Watchman of the Gods ?;Heimdall
In Greek mythology, who had nine heads?;Hydra
In what month is Christmas observed;December
Who is the Linux operating system named after;Linus torvalds
He was the father of Zeus;Cronus
Who is the greek equivalent of the roman god Pluto ?;Hades
Who founded the Salvation Army?;William Booth
Who is the Norse god of the sky and thunder;Thor
According to the Bible, who were the brothers of Jesus?;James and John
Which Norse god had the Valkyries as handmaidens?;Odin
To where do Muslims make pilgrimage?;Mecca
His wife was Penelope and his son, Telemachus. He was exiled from his home on Ithaca for angering the gods?;Odysseus
What has no reflection, no shadow, and can't stand the smell of garlic;Vampires
In Norse mythology who was Odin's blood-brother?;Loki
According to popular belief brides walk to the what in the church? (not the aisle);The nave of the church
In Greek mythology, what was Minos the king of?;Crete
What is a person who has made a pilgimage to Mecca?;Hajji
What is the last word in the New Testament?;Amen
How many animals of each kind did Moses take onto the ark?;None (It Was Noah Not Moses)
What dod Pandora Release when she opened the box?;Misery and evil
In Greek mythology, who was the only mortal gorgon?;Medusa
Who is the Norse god of poetry;Bragi
Who was Hercules' father?;Zeus
Which group of people elect the pope ?;Cardinals
In what animal form did Zeus seduce Europa?;Bull
What two biblical cities did God destroy with fire and brimstone?;Sodom and Gomorrah
In Greek mythology, who drove the sun across the sky in his chariot?;Helios
What was the name of the mythical hero-king who slew Grendal?;Beowulf
Which city is sacred to Jews, Christians, and Muslims;Jerusalem
Who was the Greek God of prophecy & archery, music & healing, light & truth, agriculture and cattle?;Apollo
In Greek mythology, who was the beautiful young man Echo fell in love with?;Narcissus
Name the holiest day in the Jewish calendar.;Yom kippur
What is the holy cup of Christ called?;Holy Grail
Who is the greek equivalent of the roman god Jupiter;Zeus
Who founded the People's Temple Commune;Jim jones
His wife was Penelope and his son, Telemachus. He was exiled from his home on Ithaca for angering the gods.;Odysseus
In Greek mythology, who was the son of Peleus and Thetis?;Achilles
Who was the Greek goddess of spring?;Persephone
Where was Methodism founded ?;Oxford University
The Lord's Prayer appears in the Bible how many times (written numerically)?;Two
Who is the Norse god of justice ?;Forseti
In Greek mythology, what animal is associated with Athena?;Owl
In Greek mythology, who were Achilles' parents?;Peleus and Thetis
What religion was founded by Siddhartha Gautama ?;Buddhism
What is the holy book of Islam ?;Koran
In what city does a certain church forbid burping or sneezing?;Omaha, Nebraska
What is the shortest verse in the bible? (John 11:35);Jesus wept.
Who replaced Moses as the prophet of the Israelites?;Joshua
In ancient Egypt which animal was considered sacred ?;Cat
Who founded Mormonism?;Joseph Smith
What is the name of the most famous of the rivers in the Underworld, the river of 'Hate' which dead souls must cross over?;Styx
Which Saint killed the dragon?;George
Who was the Greek god of wine?;Dionysus
A catholic minister is known as a?;Priest
Who is the greek equivalent of the roman god Neptune ?;Poseidon
Who is referred to in the New Testament as 'the disciple Jesus loved'?;John
Who is the greek equivalent of the roman god Mercury ?;Hermes
Which ancient continent is said to be submerged;Atlantis
Who is the greek equivalent of the roman god Juno ?;Hera
What animal's meat can a Hindu not eat?;Cow
On which mountain did Moses receive the Ten Commandments;Sinai
Who is the Norse Watchman of the Gods;Heimdall
Who is the Norse god of thunder and war?;Thor
Who was the ancient Egyptian goddess of the sky and queen of heaven ?;Hathor
Who was the Greek god of prophecy and archery?;Apollo
In China why were kites flown on the ninth day of every month ?;To banish evil
Who is the greek equivalent of the roman god Discordia ?;Eris
Of the 266 popes, how many died violently?;Thirty three
This Greek mountain was known as the home of the gods.;Olympus
Whose name did God change to Israel?;Jacob
In Greek mythology, who was Jason's wife?;Medea
In Greek mythology, how many heads did Hydra have?;Nine
How old was Sarah when she had a child?;90
Who is the Norse god of poetry ?;Bragi
The Greek goddess of fertility, also known as a protectress of witches.;Hecate
What are the first three words of The Bible?;In the beginning
Who is the greek equivalent of the roman god Vulcan;Hephaistos
He was the first King of the Hebrews.;Saul
Apollo was the Greek god of ______?;Prophecy and archery
In what month is Christmas observed?;December
Who is the Norse god of lightning?;Odin
These wounds of christ mysteriously appear on believers who sometimes weep blood as well.;Stigmata
Who killed a dragon in ancient mythology?;St. George
Dionysus was the greek god of ______?;Wine
Which city is sacred to Jews, Christians, and Muslims?;Jerusalem
Who is the greek equivalent of the roman god Diana ?;Artemis
Who is the greek equivalent of the roman god Cupid;Eros
What is the 1st book of the Hindu scripture?;Rig Veda
Who is the greek equivalent of the roman god Mars;Ares
Who is the Norse god of justice;Forseti
Who is the greek equivalent of the roman god Pluto;Hades
In Greek mythology who did Athena turn into a spider?;Arachne
What is the birthstone for January?;Garnet
In Greek mythology, where did Perseus kill his grandfather?;Larrisan games
In Greek mythology, who ruled over the island of Samos?;Polycrates
In Greek mythology, who was Medea's husband?;Jason
This roman soldier pierced the crucified Christ on His side with his spear.;Longinus
Who is the greek equivalent of the roman god Minerva;Athena
Which two books in the Old Testament list the ten commandments? (in order of appearance);Exodus and Deuteronomy
How long did it take God to create the Universe?;Six days - he rested on the seventh
In Norse myth, there were two separate races of gods: the Aesir gods which included Odin and Thor, and the ____ gods from whom descended Freya.;Vanir
Who is the greek equivalent of the roman god Discordia;Eris
Who did the Norse god Odin have as handmaidens?;Valkyries
What mythical Scottish town appears for one day every 100 years?;Brigadoon
Persephone was the Greek goddess of ______?;Spring
Who is the greek equivalent of the roman god Venus;Aphrodite
The sea gods had a three-pronged spear called a(n) ________.;Trident
In Greek mythology, who turned Arachne into a spider?;Athena
Who is the Greek messenger god?;Hermes
What is Greek muse of dance and choral song?;Terpsichore
Who is the greek equivalent of the roman god Jupiter ?;Zeus
What is God called in the Muslim faith?;Allah
Who is the Norse god of mischief?;Loki
In Greek mythology, what did Daedalus construct for Minos?;Labyrinth
Neptune was the Roman god of the ______?;Sea
What is the name given to the supreme reality in Hinduism?;Brahman
Who killed Goliath?;David
Where did Robin Hood supposedly live;Sherwood forest
In Greek mythology, who solved the riddle of the Sphinx?;Oedipus
Where did Robin Hood supposedly live?;Sherwood Forest
Followers of the Unification Church are called ________.;Moonies
What religious movement was founded by William Booth?;Salvation Army
What was the first sign shown to Moses by God according to the Bible?;Burning bush
Who was Hercules' stepmother?;Hera
Which ancient continent is said to be submerged?;Atlantis
Who is the greek equivalent of the roman god Vesta;Hestia
In Egyptian mythology, who was Horus' mother?;Isis
Who was Ancient Egyptian goddess of fertility, love and beauty ?;Bastet
In English mythology, who caused the death of the Lady of Shallot?;Sir Lancelot
In Greek mythology, who hired Daedalus to construct the labyrinth?;Minos
Who was Ancient Egyptian moon god ?;Khonsu
In Greek mythology, who did Minos hire to construct the labyrinth?;Daedalus
He led the Mormons to the Great Salt Lake.;Young
In Egyptian mythology, what is the life force called?;Ka
